------------------------------------------------------------
Client connecting to 12.1.1.1, TCP port 5001 with pid 98 (1 flows)
Write buffer size: 131072 Byte
TOS set to 0x0 (Nagle on)
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 12.1.1.2%oaitun_ue0 port 58451 connected with 12.1.1.1 port 5001 (reverse) (sock=3) on 2023-11-22 15:38:23.089 (UTC)
[ ID] Interval        Transfer    Bandwidth       Reads=Dist
[ *1] 51.00-52.00 sec  8.58 MBytes  72.0 Mbits/sec  2202=2182:20:0:0:0:0:0:0
[ *1] 52.00-53.00 sec  8.64 MBytes  72.5 Mbits/sec  2199=2180:19:0:0:0:0:0:0
[ *1] 53.00-54.00 sec  8.69 MBytes  72.9 Mbits/sec  2273=2259:14:0:0:0:0:0:0
[ *1] 54.00-55.00 sec  8.74 MBytes  73.3 Mbits/sec  2277=2266:11:0:0:0:0:0:0
[ *1] 55.00-56.00 sec  8.73 MBytes  73.2 Mbits/sec  2268=2245:23:0:0:0:0:0:0
[ *1] 56.00-57.00 sec  8.66 MBytes  72.7 Mbits/sec  2289=2280:9:0:0:0:0:0:0
[ *1] 57.00-58.00 sec  8.71 MBytes  73.0 Mbits/sec  2306=2297:9:0:0:0:0:0:0
[ *1] 58.00-59.00 sec  8.74 MBytes  73.4 Mbits/sec  2314=2301:13:0:0:0:0:0:0
[ *1] 59.00-60.00 sec  7.67 MBytes  64.4 Mbits/sec  1263=1230:8:1:0:2:0:0:22
[ *1] 0.00-60.18 sec   511 MBytes  71.2 Mbits/sec  131385=130497:785:8:1:4:0:0:90
